Tab,Q,SQ,SSQ,SSSQ,Question,Class,Unit,Repetitive,Tab_Name,Question_Text,SPSS_header,Short_Question,Likert_Affect_Direction,Answer_Labels,Answer_Numbers,MAR_Cross_Reference
None,,,,,Added,Text,,,None,Unique household ID,h_idnumber,Unique household ID,,,,
ID,2,,,,ID.2,Text,,,ID,Village,vill,Village,,,,
ID,5,,,,ID.5,Text,,,ID,Mouza,mouza,Mouza,,,,
ID,9,,,,ID.9,Text,,,ID,Household number,hhno,Household number,,,,
ID,1,1,,,ID.1.1,Integer,Day,,ID,Day of interview,day,Day of interview,,,,
ID,1,2,,,ID.1.2,Text,,,ID,Month of interview,month,Month of interview,,,,
ID,1,3,,,ID.1.3,Integer,Year,,ID,Year of interview,year,Year of interview,,,,
ID,4,,,,ID.4,Text,,,ID,Union code,union,Union code,,,,
ID,6,,,,ID.6,Text,,,ID,Upazilla,upaz,Upazilla,,,,
ID,7,,,,ID.7,Text,,,ID,District,dist,District,,,,
ID,8,,,,ID.8,Text,,,ID,Division code,div,Division code,,,,
ID,10,1,,,ID.10.1,Integer,,,ID,Attempt number,visit,Attempt number,,,,
ID,10,2,1,,ID.10.2.1,Integer,,,ID,Day of interview,DAY1,Day of interview,,,,
ID,10,2,2,,ID.10.2.2,Text,,,ID,Month of interview,MONTH1,Month of interview,,,,
ID,10,2,3,,ID.10.2.3,Integer,,,ID,Year of interview,YEAR1,Year of interview,,,,
ID,10,3,1,,ID.10.3.1,Integer,,,ID,Starting hour,SHOUR1,Starting hour,,,,
ID,10,3,2,,ID.10.3.2,Integer,,,ID,Starting minute,SMINUTE1,Starting minute,,,,
ID,10,4,1,,ID.10.4.1,Integer,,,ID,Ending hour,FHOUR1,Ending hour,,,,
ID,10,4,2,,ID.10.4.2,Integer,,,ID,Ending minute,FMINUTE1,Ending minute,,,,
ID,10,6,,,ID.10.6,Text,,,ID,Result code,rc,Result code,,,,
ID,10,8,,,ID.10.8,Text,,,ID,Interviewer code,INCODE1,Interviewer code,,,,
ID,11,1,,,ID.11.1,Text,,,ID,GPS Reading North,north,GPS Reading North,,,,
ID,11,2,,,ID.11.2,Text,,,ID,GPS Reading East,east,GPS Reading East,,,,
ID,12,,,,ID.12,Text,,,ID,Data entry keyer,keyer,Data entry keyer,,,,
A,,,,,Added,Integer,,,Household Roster,Household: Total number of members,members,Total members in HH,,,,
A,,,,,Added,Integer,,,Household Roster,Household: Total number of workers,workers,Total workers in HH,,,,
A,,,,,Added,Integer,,,Household Roster,Household: Total number of non-workers,nonworkers,Total non-workers in HH,,,,
A,,,,,Added,Integer,,,Household Roster,Household: Total internal migration trips by members,totalinternal,HH total internal trips,,,,
A,,,,,Added,Integer,,,Household Roster,Household: Total India migration trips by members,totalindia,HH total India trips,,,,
A,,,,,Added,Integer,,,Household Roster,Household: Total Other Country migration trips by members,totalother,HH total other country trips,,,,
A,,,,,Added,Categorical ,,TRUE,Household Roster,HH Head: Sex,hsex,HH Head: Sex,,"c('Male','Female')","c(1,2)",
A,,,,,Added,Integer,,TRUE,Household Roster,HH Head: Year of birth,hyrbirth,HH Head: Year of birth,,,,
A,,,,,Added,Categorical ,,TRUE,Household Roster,HH Head: Level of Education,heduc,HH Head: Level of Education,,"c('No schooling','Class I-IV', 'Class V', 'Class VI-IX','SSC', 'College', 'HSC','University','Adultinformal education')",c(1:9),
A,,,,,Added,Categorical ,,TRUE,Household Roster,HH Head: Livelihood/Occupation,hocc,HH Head: Livelihood/Occupation,,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/teacher/nurse/ FWV (familywelfare visitor) /mid & high levelservices (Government,private)/Amanuensis/Clerk"",""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", ""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") ","c(1:19, 9999)",
A,,,,,Added,Integer,,TRUE,Household Roster,HH Head: Total internal migration trips,hinternaltp,HH Head: Total internal migration trips,,,,
A,,,,,Added,Integer,,TRUE,Household Roster,HH Head: Total India migration trips,hindiatp,HH Head: Total India migration trips,,,,
A,,,,,Added,Integer,,TRUE,Household Roster,HH Head: Total Other Country migration trips,hothertp,HH Head: Total Other Country migration trips,,,,
A,,,,,Added,Integer,,TRUE,Household Roster,HH Head: Year of last internal trip,hinternalyrl,HH Head: Year of last internal trip,,,,
A,,,,,Added,Integer,,TRUE,Household Roster,HH Head: Year of last India trip,hindiayrl,HH Head: Year of last India trip,,,,
A,,,,,Added,Integer,,TRUE,Household Roster,HH Head: Year of last Other Country trip,hotheryrl,HH Head: Year of last Other Country trip,,,,
A,,,,,Added,Categorical ,,TRUE,Household Roster,Spouse: Sex,spsex,Spouse: Sex,,"c('Male','Female')","c(1,2)",
A,,,,,Added,Integer,,TRUE,Household Roster,Spouse: Year of birth,spyrbirth,Spouse: Year of birth,,,,
A,,,,,Added,Categorical ,,TRUE,Household Roster,Spouse: Level of Education,speduc,Spouse: Level of Education,,"c('No schooling','Class I-IV', 'Class V', 'Class VI-IX','SSC', 'College', 'HSC','University','Adultinformal education')",c(1:9),
