Tab,Q,SQ,SSQ,SSSQ,Question,Class,Unit,Repetitive,Tab_Name,Question_Text,SPSS_header,Short_Question,Likert_Affect_Direction,Answer_Labels,Answer_Numbers,MAR_Cross_Reference
None,,,,,Added,Text,,,None,Unique person ID,p_idnumber,Unique person ID,,,,
None,,,,,Added,Text,,,None,Unique household ID,h_idnumber,Unique household ID,,,,
ID,2,,,,ID.2,Text,,,ID,Village,vill,Village,,,,
ID,5,,,,ID.5,Text,,,ID,Mouza,mouza,Mouza,,,,
ID,9,,,,ID.9,Text,,,ID,Household number,hhno,Household number,,,,
A,1,,,,A.1,Integer,,,Information about the household members ,Household: Roster serial number (Person number),A01,Household: Roster serial number (Person number),,,,
A,3,,,,A.3,Categorical ,,TRUE,Information about the household members ,Household: Sex,A03,Household: Sex,,"c(""M"", ""F"")",c(1:2),
A,4,,,,A.4,Categorical ,,TRUE,Information about the household members ,Household: Ethnicity,A04,Household: Ethnicity,,"c(""Bengali"", ""Other"")",c(1:2),
A,5,,,,A.5,Categorical ,,TRUE,Information about the household members ,Household: Religion,A05,Household: Religion,,"c(""Islam"", ""Hinduism"", ""Buddhism"", ""Christianity"", ""Other"")",c(1:5),
A,6,,,,A.6,Categorical ,,TRUE,Information about the household members ,Household: Relation to HH Head,A06,Household: Relation to HH Head,,"c(""Head"", ""Spouse"", ""Son/daughter"", ""Father/mother"", ""brother/sister"", ""Niece/nephew"", ""Uncle/aunt"", ""Cousin"", ""Grandfather/grandmother"", ""Grandson/granddaughter"", ""stepson/ stepdaughter"", ""Stepbrother/stepsister"", ""Stepmother/stepfather"", ""Son in law/ daughter in law"", ""Brother in law/ sister in law"", ""Father in law/ mother in law"", ""Other blood relative"", ""Other relative by marriage"", ""Non-relative"", ""Adopted/ foster child"")",c(1:20),
A,7,,,,A.7,Yes/No,,TRUE,Information about the household members ,Household: HH Member?,A07,Household: HH Member?,,,,
A,8,,,,A.8,Integer,Year,TRUE,Information about the household members ,Household: Year of birth,A08,Household: Year of birth,,,,
A,9,,,,A.9,Integer,Year,TRUE,Information about the household members ,Household: Year of death,A09,Household: Year of death,,,,
A,10,,,,A.10,Text,,TRUE,Information about the household members ,Household: Place of birth,A10,Household: Place of birth,,,,
A,11,,,,A.11,Categorical ,,TRUE,Information about the household members ,Household: Marital status,A11,Household: Marital status,,"c(""Currently married"", ""Divorced/ separated/ deserted"", ""Widowed/ widower"", ""Never married"")",c(1:4),
A,12,,,,A.12,Yes/No,,TRUE,Information about the household members ,Household: Can you write a letter?,A12,Household: Can you write a letter?,,,,
A,13,,,,A.13,Categorical ,,TRUE,Information about the household members ,Household: Level of education (Highest level passed),A13,Household: Level of education (Highest level passed),,"c('No schooling','Class I-IV', 'Class V', 'Class VI-IX','SSC', 'College', 'HSC','University','Adultinformal education')",c(1:9),
