h_idnumber,sum_head,sum_spouse,hsex,spsex,hyrbirth,heduc,spyrbirth,speduc,P1_2a,J4_1a,J5_3a,R2_1,Q2_5a,Q2_5b,Q4_1a,Q4_2a,Q4_3a,Q4_1b,Q4_2b,Q4_3b,S_1a,S_1b,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,class_mig
1_287_2544,1,NA,Male,NA,1994,SSC (Complete SE),NA,NA,0,Yes,0,No,No,NA,Never,Never,Never,NA,NA,NA,Some what,NA,Increased,Increased,No change,No change,No change,migrant
1_287_2590,1,0,Female,Male,1980,University level,1975,University level,0,No,5,No,No,No,Never,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,Not at all,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2590,1,0,Female,Male,1980,University level,1975,University level,0,No,5,No,No,No,Never,Only one or two months,Never,Some months but not every month,No,Only one or two months,Some what,Not at all,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2591,15,NA,Female,Male,1964,No Schooling,1954,No Schooling,0,No,2,Yes,Yes,Yes,Only one or two months,Only one or two months,Never,NA,NA,NA,Some what,9,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2591,15,NA,Female,Male,1964,No Schooling,1954,No Schooling,0,No,2,Yes,Yes,Yes,Only one or two months,Only one or two months,Never,NA,NA,NA,Some what,9,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2592,13,NA,Female,Male,1980,No Schooling,1970,No Schooling,0,No,2,Yes,No,No,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2592,13,NA,Female,Male,1980,No Schooling,1970,No Schooling,0,No,2,Yes,No,No,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2592,13,NA,Female,Male,1980,No Schooling,1970,No Schooling,0,No,2,Yes,No,No,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2593,7,13,Female,Male,1980,Class I-IV (Incomplete PE),1970,Class I-IV (Incomplete PE),0,No,5,Yes,Yes,Yes,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,No,Some months but not every month,Some what,Some what,Increased,Decreased,Increased,Increased,Increased,migrant
1_287_2593,7,13,Female,Male,1980,Class I-IV (Incomplete PE),1970,Class I-IV (Incomplete PE),0,No,5,Yes,Yes,Yes,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,No,Some months but not every month,Some what,Some what,Increased,Decreased,Increased,Increased,Increased,migrant
