IDNO,CLUSTER,ZONE,DIVISION,DISTRICT,UPAZILA,UNION,MOUZA,SEGMENT,HNUMBER,SROUND,ID,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112A,Q112B,UID,DUID
1005,1,1,1,6,36,81,356,1,5,2,1,1,1,1,35,2,1,8,8,A,2,2,36,0100501,0
1005,1,1,1,6,36,81,356,1,5,2,2,1,2,2,28,2,1,5,6,C, ,4,50,0100502,0
1005,1,1,1,6,36,81,356,1,5,2,3,1,3,2,8, ,1,3,3,D, ,2,36,0100503,0
1005,1,1,1,6,36,81,356,1,5,2,4,1,3,1,6, ,1,1,1,D, ,2,36,0100504,0
1005,1,1,1,6,36,81,356,1,5,2,5,1,3,2,1, , , , , , ,2,36,0100505,0
1010,1,1,1,6,36,81,356,1,10,2,1,1,1,1,21,1,1,8,8,A,1,2,36,0101001,0
1010,1,1,1,6,36,81,356,1,10,2,2,1,6,1,54,2,1,2,2,C, ,2,36,0101002,0
1010,1,1,1,6,36,81,356,1,10,2,3,1,6,2,41,2,2, , ,C, ,2,36,0101003,0
1010,1,1,1,6,36,81,356,1,10,2,4,1,8,1,18,1,1,5,5,A,2,2,36,0101004,0
1010,1,1,1,6,36,81,356,1,10,2,5,1,8,2,15,1,1,8,8,D, ,2,36,0101005,0
1010,1,1,1,6,36,81,356,1,10,2,6,1,8,1,12,1,1,5,5,D, ,2,36,0101006,0
1010,1,1,1,6,36,81,356,1,10,2,7,1,8,2,10, ,1,4,4,D, ,2,36,0101007,0
1010,1,1,1,6,36,81,356,1,10,2,8,4,8,1,23,1,1,12,14,D, ,4,62,0101008,0
1012,1,1,1,6,36,81,356,1,12,2,1,2,1,1,29,2,1,3,3,A,1,2,36,0101201,0
1012,1,1,1,6,36,81,356,1,12,2,2,1,2,2,23,2,1,5,5,C, ,2,36,0101202,0
1012,1,1,1,6,36,81,356,1,12,2,3,1,3,1,2, , , , , , ,2,36,0101203,0
1012,1,1,1,6,36,81,356,1,12,2,4,1,3,1,0, , , , , , ,2,36,0101204,0
1015,1,1,1,6,36,81,356,1,15,2,1,1,1,1,46,2,1,2,2,A,2,2,36,0101501,0
1015,1,1,1,6,36,81,356,1,15,2,2,1,2,2,40,2,1,1,1,C, ,2,36,0101502,0
1015,1,1,1,6,36,81,356,1,15,2,3,2,3,1,19,1,2, , ,A,1,2,36,0101503,0
1015,1,1,1,6,36,81,356,1,15,2,4,2,3,1,16,1,2, , ,A,1,2,36,0101504,0
1015,1,1,1,6,36,81,356,1,15,2,5,1,3,1,12,1,1,4,4,D, ,2,36,0101505,0
1015,1,1,1,6,36,81,356,1,15,2,6,1,3,1,10, ,1,3,3,D, ,2,36,0101506,0
1015,1,1,1,6,36,81,356,1,15,2,7,1,3,1,2, , , , , , ,2,36,0101507,0
1015,1,1,1,6,36,81,356,1,15,2,8,1,3,1,0, , , , , , ,2,36,0101508,0
1018,1,1,1,6,36,81,356,1,18,2,1,1,1,1,31,2,1,5,6,A,2,2,36,0101801,0
1018,1,1,1,6,36,81,356,1,18,2,2,1,2,2,26,2,1,4,5,C, ,2,36,0101802,0
1018,1,1,1,6,36,81,356,1,18,2,3,1,3,2,6, ,1,0,1,D, ,2,36,0101803,0
1018,1,1,1,6,36,81,356,1,18,2,4,1,3,1,3, , , , , , ,2,36,0101804,0
1018,1,1,1,6,36,81,356,1,18,2,5,1,3,1,1, , , , , , ,2,36,0101805,0
1018,1,1,1,6,36,81,356,1,18,2,6,1,6,2,60,3,2, , ,C, ,2,36,0101806,0
1021,1,1,1,6,36,81,356,1,21,2,1,1,1,1,28,2,1,3,3,A,2,2,36,0102101,0
1021,1,1,1,6,36,81,356,1,21,2,2,1,2,2,23,2,1,5,5,C, ,2,36,0102102,0
1021,1,1,1,6,36,81,356,1,21,2,3,1,3,1,7, ,1,0,0,D, ,2,36,0102103,0
1021,1,1,1,6,36,81,356,1,21,2,4,1,3,1,3, , , , , , ,2,36,0102104,0
1023,1,1,1,6,36,81,356,1,23,2,1,1,1,1,45,2,2, , ,A,2,2,36,0102301,0
1023,1,1,1,6,36,81,356,1,23,2,2,1,2,2,37,2,2, , ,C, ,2,36,0102302,0
1023,1,1,1,6,36,81,356,1,23,2,3,1,3,2,15,1,1,7,8,D, ,2,36,0102303,0
1023,1,1,1,6,36,81,356,1,23,2,4,1,3,2,12,1,1,4,5,D, ,2,36,0102304,0
1023,1,1,1,6,36,81,356,1,23,2,5,1,3,2,8, ,1,1,2,D, ,2,36,0102305,0
1023,1,1,1,6,36,81,356,1,23,2,6,1,3,2,4, , , , , , ,2,36,0102306,0
1023,1,1,1,6,36,81,356,1,23,2,7,1,3,1,6, ,1,0,1,D, ,2,36,0102307,0
1023,1,1,1,6,36,81,356,1,23,2,8,1,3,2,1, , , , , , ,2,36,0102308,0
1023,1,1,1,6,36,81,356,1,23,2,9,2,3,1,24,1,1,5,5,A,1,2,36,0102309,0
1026,1,1,1,6,36,81,356,1,26,2,1,1,1,1,36,2,1,9,10,A,2,2,36,0102601,0
1026,1,1,1,6,36,81,356,1,26,2,2,1,2,2,28,2,1,7,8,C, ,2,36,0102602,0
1026,1,1,1,6,36,81,356,1,26,2,3,1,3,2,10, ,1,5,5,D, ,2,36,0102603,0
1026,1,1,1,6,36,81,356,1,26,2,4,1,3,1,7, ,1,1,2,D, ,2,36,0102604,0
1026,1,1,1,6,36,81,356,1,26,2,5,1,3,1,1, , , , , , ,2,36,0102605,0
1026,1,1,1,6,36,81,356,1,26,2,6,1,6,2,85,3,1,5,5,E, ,2,36,0102606,0
1033,1,1,1,6,36,81,356,1,33,2,1,1,1,1,30,2,1,3,3,A,2,2,36,0103301,0
1033,1,1,1,6,36,81,356,1,33,2,2,1,2,2,25,2,1,5,5,C, ,2,36,0103302,0
1033,1,1,1,6,36,81,356,1,33,2,3,1,3,1,8, ,1,0,1,D, ,2,36,0103303,0
1033,1,1,1,6,36,81,356,1,33,2,4,1,3,1,4, , , , , , ,2,36,0103304,0
1033,1,1,1,6,36,81,356,1,33,2,5,1,3,1,1, , , , , , ,2,36,0103305,0
1036,1,1,1,6,36,81,356,1,36,2,1,1,1,1,31,2,2, , ,A,2,2,36,0103601,0
1036,1,1,1,6,36,81,356,1,36,2,2,1,2,2,25,2,1,4,5,C, ,2,36,0103602,0
1036,1,1,1,6,36,81,356,1,36,2,3,1,3,1,4, , , , , , ,2,36,0103603,0
1036,1,1,1,6,36,81,356,1,36,2,4,1,3,2,2, , , , , , ,2,36,0103604,0
1038,1,1,1,6,36,81,356,1,38,2,1,1,1,1,65,2,2, , ,A,2,2,36,0103801,0
1038,1,1,1,6,36,81,356,1,38,2,2,1,2,2,55,2,2, , ,C, ,2,36,0103802,0
1038,1,1,1,6,36,81,356,1,38,2,3,1,3,1,25,2,1,7,8,A,2,2,36,0103803,0
1038,1,1,1,6,36,81,356,1,38,2,4,1,4,2,18,2,1,5,5,C, ,2,36,0103804,0
1038,1,1,1,6,36,81,356,1,38,2,5,1,5,1,5, , , , , , ,2,36,0103805,0
1038,1,1,1,6,36,81,356,1,38,2,6,1,5,2,1, , , , , , ,2,36,0103806,0
1043,1,1,1,6,36,81,356,1,43,2,1,1,1,1,32,2,1,8,8,A,2,2,36,0104301,0
1043,1,1,1,6,36,81,356,1,43,2,2,1,2,2,26,2,1,5,6,C, ,2,36,0104302,0
1043,1,1,1,6,36,81,356,1,43,2,3,1,3,2,8, ,1,2,3,D, ,2,36,0104303,0
1043,1,1,1,6,36,81,356,1,43,2,4,1,3,1,2, , , , , , ,2,36,0104304,0
1043,1,1,1,6,36,81,356,1,43,2,5,1,6,1,70,2,2, , ,C, ,2,36,0104305,0
1043,1,1,1,6,36,81,356,1,43,2,6,1,6,2,60,2,2, , ,C, ,2,36,0104306,0
1043,1,1,1,6,36,81,356,1,43,2,7,1,8,1,27,2,1,5,5,A,2,2,36,0104307,0
1043,1,1,1,6,36,81,356,1,43,2,8,1,9,2,18,2,1,8,8,C, ,2,36,0104308,0
1047,1,1,1,6,36,81,356,1,47,2,1,1,1,1,38,2,2, , ,A,2,2,36,0104701,0
1047,1,1,1,6,36,81,356,1,47,2,2,1,2,2,32,2,2, , ,C, ,2,36,0104702,0
1047,1,1,1,6,36,81,356,1,47,2,3,1,3,1,14,1,2, , ,A,2,2,36,0104703,0
1047,1,1,1,6,36,81,356,1,47,2,4,1,3,1,10, ,2, , ,A,2,2,36,0104704,0
1047,1,1,1,6,36,81,356,1,47,2,5,1,3,2,9, ,1,2,2,D, ,2,36,0104705,0
1047,1,1,1,6,36,81,356,1,47,2,6,1,3,1,7, ,1,0,1,D, ,2,36,0104706,0
1047,1,1,1,6,36,81,356,1,47,2,7,1,3,1,1, , , , , , ,1,36,0104707,0
1052,1,1,1,6,36,81,356,1,52,2,1,1,1,1,25,2,1,5,5,A,2,2,36,0105201,0
1052,1,1,1,6,36,81,356,1,52,2,2,1,2,2,20,2,1,6,7,C, ,2,36,0105202,0
1052,1,1,1,6,36,81,356,1,52,2,3,1,3,2,2, , , , , , ,2,36,0105203,0
1052,1,1,1,6,36,81,356,1,52,2,4,1,6,1,70,2,2, , ,E, ,2,36,0105204,0
1052,1,1,1,6,36,81,356,1,52,2,5,1,6,2,60,2,2, , ,C, ,2,36,0105205,0
1054,1,1,1,6,36,81,356,1,54,2,1,1,1,1,25,2,1,1,2,A,2,2,36,0105401,0
1054,1,1,1,6,36,81,356,1,54,2,2,1,2,2,20,2,1,5,5,C, ,2,36,0105402,0
1054,1,1,1,6,36,81,356,1,54,2,3,1,3,1,3, , , , , , ,2,36,0105403,0
1062,1,1,1,6,36,81,356,1,62,2,1,1,1,1,38,2,1,16,18,A,2,2,36,0106201,0
1062,1,1,1,6,36,81,356,1,62,2,2,1,2,2,34,2,1,12,13,A,2,2,36,0106202,0
1062,1,1,1,6,36,81,356,1,62,2,3,1,3,2,13,1,1,8,9,D, ,2,36,0106203,0
1062,1,1,1,6,36,81,356,1,62,2,4,1,3,2,10, ,1,4,5,D, ,2,36,0106204,0
1062,1,1,1,6,36,81,356,1,62,2,5,1,3,2,1, , , , , , ,2,36,0106205,0
1072,1,1,1,6,36,81,356,1,72,2,1,2,1,1,42,2,2, , ,A,1,2,36,0107201,0
1072,1,1,1,6,36,81,356,1,72,2,2,1,2,2,35,2,2, , ,C, ,2,36,0107202,0
1072,1,1,1,6,36,81,356,1,72,2,3,1,3,2,20,1,2, , ,C, ,2,36,0107203,0
1072,1,1,1,6,36,81,356,1,72,2,4,1,3,2,12,1,1,4,5,D, ,2,36,0107204,0
