,hh_id,migrations,wealth,num_shocked,wtp,wta,found_work,tick
0,1,1,3326203.9740516087,1,18367.875151206656,20000.0,0,19
0,2,0,11444219.98031624,0,17399.81818585516,20000.0,0,19
0,3,0,11468625.859221859,0,18003.671552522937,20000.0,0,19
0,4,0,2417242.309569736,1,17641.036902065607,20000.0,0,19
0,5,0,34610739.41355526,0,17167.727094470894,20000.0,0,19
0,6,1,15320009.67004671,1,17312.457271743715,20000.0,0,19
0,7,0,4402893.646626486,1,16519.93951678328,20000.0,0,19
0,8,0,16540436.009243798,0,17575.544821155832,20000.0,0,19
0,9,0,4506277.214084257,1,17641.345562796432,20000.0,0,19
0,10,0,28546728.62802585,0,16720.462733896627,20000.0,0,19
0,11,0,404859.4999889295,2,18210.94047592689,20000.0,0,19
0,12,1,2139043.361772867,2,18366.63447853287,20000.0,0,19
0,13,1,17206837.636035435,1,18383.299607732537,20000.0,0,19
0,14,1,8804703.571344428,1,15977.920983776616,20000.0,0,19
0,15,0,2463756.883065685,1,18280.93413211334,20000.0,0,19
0,16,0,640538.2258249964,1,17411.40381248369,20000.0,0,19
0,17,0,4710217.487608303,1,17508.711693706584,20000.0,0,19
0,18,0,12240668.08006889,0,16720.895991922192,20000.0,0,19
0,19,2,8830848.319838367,2,18437.37468912245,20000.0,0,19
0,20,0,5531836.923032824,0,15895.850576386454,20000.0,0,19
0,21,0,1194900.5460507497,0,17459.610367051493,20000.0,0,19
0,22,0,23293663.86983168,0,18325.139544098176,20000.0,0,19
0,23,0,2405455.0903929933,0,17461.09585585623,20000.0,0,19
0,24,1,10487576.25727107,1,18796.414597311534,20000.0,0,19
0,25,1,5100604.944571099,2,17050.757668782757,20000.0,0,19
0,26,0,32697671.027776454,0,17404.95351389562,20000.0,0,19
0,27,0,12047898.554866277,0,16987.165772108765,20000.0,0,19
0,28,1,8449362.673840646,2,18166.991076352846,20000.0,0,19
0,29,0,11108929.870922841,1,16595.000509099023,20000.0,0,19
0,30,0,30100695.007747762,0,18236.7945878312,20000.0,0,19
0,31,1,5039266.083121534,1,17754.444755426368,20000.0,0,19
0,32,0,8839734.397412201,0,16550.883045050192,20000.0,0,19
0,33,0,11823799.127034733,1,16835.95531846203,20000.0,0,19
0,34,0,5070742.584815739,1,16157.720803380738,20000.0,0,19
0,35,0,3280139.5839885776,1,16787.498969884546,20000.0,0,19
0,36,0,11709686.476049455,0,17781.02598177479,20000.0,0,19
0,37,0,1655979.4395438586,0,17496.68859693696,20000.0,0,19
0,38,1,5186514.934217762,1,17538.617447473818,20000.0,0,19
0,39,1,4524839.044585005,1,17831.847848601912,20000.0,0,19
0,40,0,8776418.296244118,0,16855.101616668035,20000.0,0,19
0,41,1,16571975.053814549,1,18131.88913324769,20000.0,0,19
0,42,0,25185376.688758276,0,16547.388009445323,20000.0,0,19
0,43,0,17545361.15465698,0,18129.374044591135,20000.0,0,19
0,44,0,8831988.875152685,0,17296.229490942376,20000.0,0,19
0,45,0,30373013.06616856,0,18213.45356829111,20000.0,0,19
0,46,0,10107831.904187256,0,18766.765294882694,20000.0,0,19
0,47,0,7949507.419896107,0,16855.908314222106,20000.0,0,19
0,48,0,29330453.681845613,0,17371.8157774094,20000.0,0,19
0,49,1,5236223.498012849,1,18279.90964348523,20000.0,0,19
0,50,0,17728196.87562681,0,17564.433181006483,20000.0,0,19
0,51,0,6581758.541766347,0,16930.50865253189,20000.0,0,19
0,52,0,12116048.746852402,0,17082.1515827408,20000.0,0,19
0,53,1,8839857.693488777,1,17635.97729742476,20000.0,0,19
0,54,0,10386384.41189456,0,16423.955571783652,20000.0,0,19
0,55,0,7619360.326644754,1,17501.252616322196,20000.0,0,19
0,56,0,6872384.444358268,3,16973.65737273573,20000.0,0,19
0,57,0,11340983.619868796,0,17107.323972273814,20000.0,0,19
0,58,1,6652975.219127362,1,17758.05604753867,20000.0,0,19
0,59,0,15172379.993474206,0,17478.645785316974,20000.0,0,19
0,60,1,7452139.667727417,1,18573.87904657175,20000.0,0,19
0,61,0,23109184.87639353,0,17519.004885379916,20000.0,0,19
0,62,0,42254327.93961506,0,17043.003320080807,20000.0,0,19
0,63,0,19675483.669490125,0,17098.127271010184,20000.0,0,19
0,64,0,14995114.514077062,0,17366.43157751311,20000.0,0,19
0,65,0,13731699.89590008,0,17312.53886089948,20000.0,0,19
0,66,0,9308505.740547542,1,18239.770142482543,20000.0,0,19
0,67,0,1788771.32959306,0,18112.17524569063,20000.0,0,19
0,68,1,367536.9941998633,2,16699.01903366507,20000.0,0,19
0,69,0,32696250.686862964,0,16735.531253905872,20000.0,0,19
0,70,0,9893128.290248603,1,17198.50873506231,20000.0,0,19
0,71,0,3316702.4223357365,1,17928.30931553744,20000.0,0,19
0,72,0,3789532.0077871694,2,18059.876436510887,20000.0,0,19
0,73,1,7491316.628075829,1,18498.970791236065,20000.0,0,19
0,74,0,7989826.757637959,2,17517.973227304698,20000.0,0,19
0,75,0,9290096.939880937,0,17782.27865850711,20000.0,0,19
0,76,0,13391795.840304572,1,16718.41039752571,20000.0,0,19
0,77,0,4885379.226991878,0,17326.84350171774,20000.0,0,19
0,78,0,3845012.719167675,2,18251.95587665493,20000.0,0,19
0,79,0,8492869.605913833,0,18612.792985786942,20000.0,0,19
0,80,1,8727238.046417348,1,17911.03549727887,20000.0,0,19
0,81,0,2609276.9723220337,1,17615.222075777954,20000.0,0,19
0,82,0,17493561.567164693,0,16631.854184397704,20000.0,0,19
0,83,0,36664030.22724165,0,17302.9670340936,20000.0,0,19
0,84,0,9148235.837712262,0,16980.79080821273,20000.0,0,19
0,85,0,11980653.21842644,0,16910.321577988863,20000.0,0,19
0,86,0,11244507.928380266,0,18279.498839391006,20000.0,0,19
0,87,1,8881127.129716638,1,16635.221728387278,20000.0,0,19
0,88,0,10212405.269110288,0,18273.770527971083,20000.0,0,19
0,89,0,13268497.589701384,0,16341.156306600018,20000.0,0,19
0,90,1,4382413.848533046,2,18147.776740761743,20000.0,0,19
0,91,1,2381135.757924144,1,18471.487907665844,20000.0,0,19
0,92,0,15337381.267832171,0,16869.215970520523,20000.0,0,19
0,93,0,22849955.43673998,0,18002.61925341308,20000.0,0,19
0,94,1,3818271.414285206,1,18695.71951834376,20000.0,0,19
0,95,0,12412071.816725109,0,17960.1700334957,20000.0,0,19
0,96,1,18345926.288909003,1,17835.058330780237,20000.0,0,19
0,97,1,3667918.887638696,2,17580.085627349876,20000.0,0,19
0,98,0,8329227.759827233,0,16852.646899150128,20000.0,0,19
0,99,0,14390794.189336857,1,16447.5932390329,20000.0,0,19
0,100,0,14855605.023820762,0,17961.248489574664,20000.0,0,19
0,1,0,1283571.766612802,2,18489.464268977634,20000.0,0,19
0,2,0,11836206.430243138,1,18382.84192495802,20000.0,0,19
0,3,0,10321290.054294253,0,16936.494506957162,20000.0,0,19
0,4,1,9619961.265543515,1,17152.19516625537,20000.0,0,19
0,5,0,22413339.031332836,0,17467.34685774785,20000.0,0,19
0,6,0,17727679.66904133,0,18281.183678059915,20000.0,0,19
0,7,0,2277611.587190468,0,18745.98528692053,20000.0,0,19
0,8,0,15238845.627765257,0,18211.59972548766,20000.0,0,19
0,9,0,8911259.259344611,1,18244.729813832782,20000.0,0,19
0,10,0,13868055.393667106,1,17403.870350654335,20000.0,0,19
0,11,0,37572634.43765277,0,16965.95295994972,20000.0,0,19
0,12,0,7123481.797428994,0,17181.458560640483,20000.0,0,19
0,13,1,7889382.538896285,1,15939.739471613264,20000.0,0,19
0,14,0,29272112.490034107,0,17906.155365160557,20000.0,0,19
0,15,0,8001463.790801148,2,16733.784710842774,20000.0,0,19
0,16,0,20301951.62225055,0,17740.95364909942,20000.0,0,19
0,17,0,6865551.0497723585,2,17966.0629401396,20000.0,0,19
0,18,0,20382949.0103668,0,16342.893588991232,20000.0,0,19
0,19,0,23832270.19176367,0,18729.81030111067,20000.0,0,19
0,20,1,5496209.748425742,1,18353.724632489037,20000.0,0,19
0,21,0,30648319.133294582,0,17393.31042286792,20000.0,0,19
0,22,0,0.0,0,15097.767540495215,20000.0,0,19
0,23,0,13459217.252661807,0,18246.826303201124,20000.0,0,19
0,24,0,10332294.831167726,0,18444.310548238216,20000.0,0,19
0,25,1,9217168.943124408,2,16985.688729028432,20000.0,0,19
0,26,0,3443010.8172845664,1,18343.35511600966,20000.0,0,19
0,27,0,7786627.554084413,1,17006.37386830394,20000.0,0,19
0,28,0,9531802.435271546,1,17067.359114418312,20000.0,0,19
0,29,0,14289559.432065852,0,17595.400448666413,20000.0,0,19
0,30,0,17984474.355443392,0,17519.478648209606,20000.0,0,19
0,31,0,5182719.132902033,1,18250.290750841312,20000.0,0,19
0,32,0,10082743.848600322,1,17275.027460895377,20000.0,0,19
0,33,1,12782833.96417742,1,16875.06177129751,20000.0,0,19
0,34,0,33601.12261622802,1,16390.9225351241,20000.0,0,19
0,35,0,12714701.518053139,0,17334.023117648772,20000.0,0,19
0,36,0,18139038.80776143,0,16889.112409210215,20000.0,0,19
0,37,0,13520059.141985476,0,18336.552183144842,20000.0,0,19
0,38,0,26240269.179941155,0,17426.625421729892,20000.0,0,19
0,39,0,2176125.618994719,0,18208.711896163273,20000.0,0,19
0,40,0,12865681.030189697,0,17531.004854841623,20000.0,0,19
0,41,1,10312805.682527455,2,16874.601646878877,20000.0,0,19
0,42,0,2055313.1764095116,0,17595.468434845923,20000.0,0,19
0,43,0,13135226.857259618,0,17259.066214160648,20000.0,0,19
0,44,0,7973875.289462469,3,17809.48006581864,20000.0,0,19
0,45,0,16800910.927634235,0,17475.355901871215,20000.0,0,19
0,46,0,8341248.796583958,1,16170.450044010238,20000.0,0,19
0,47,0,6418521.048749249,1,17057.39763034895,20000.0,0,19
0,48,0,4775047.10066624,1,18339.354183163377,20000.0,0,19
0,49,0,28541936.84364817,1,18107.510899469726,20000.0,0,19
0,50,0,5382004.233452366,1,16294.525587366776,20000.0,0,19
0,51,0,16587161.402181827,2,17937.13834207576,20000.0,0,19
0,52,0,13825263.990524702,1,17167.275763565493,20000.0,0,19
0,53,0,1705232.4376306704,1,17020.585370698125,20000.0,0,19
0,54,0,22403384.62490533,0,17190.145116992346,20000.0,0,19
0,55,0,6147615.3689052155,1,18573.90901913927,20000.0,0,19
0,56,1,3413443.254943352,1,16445.16318704541,20000.0,0,19
0,57,0,17417713.472239245,0,17661.22965258781,20000.0,0,19
0,58,0,11005825.024707198,1,18288.51770308326,20000.0,0,19
0,59,0,4499974.483812014,1,17286.919078788902,20000.0,0,19
0,60,1,8502393.515504522,1,16488.134671083077,20000.0,0,19
0,61,0,5229718.082692938,1,17458.1207760072,20000.0,0,19
0,62,0,7727636.769177539,0,18484.66865596763,20000.0,0,19
0,63,0,5943683.046996922,1,17416.021999076645,20000.0,0,19
0,64,0,4280682.512212865,1,16372.021758780831,20000.0,0,19
0,65,0,4975780.832027415,0,17853.42713031174,20000.0,0,19
0,66,0,18536430.24597334,0,17206.69446214692,20000.0,0,19
0,67,0,5038448.671191036,1,18097.701393989508,20000.0,0,19
0,68,0,2825958.38936302,3,16774.826622345918,20000.0,0,19
0,69,0,9895899.31896733,2,17165.540902241206,20000.0,0,19
0,70,0,17180993.25800774,0,17424.479895121745,20000.0,0,19
0,71,0,19714845.932584208,0,18077.39831407221,20000.0,0,19
0,72,0,19070638.108217932,1,17255.89764303519,20000.0,0,19
0,73,0,15886516.873572804,1,17802.228433352284,20000.0,0,19
0,74,0,7456071.321858446,1,16840.038405843807,20000.0,0,19
0,75,0,2750662.8669568356,1,17591.78749702962,20000.0,0,19
0,76,0,1386707.0890681453,0,17895.534801561636,20000.0,0,19
0,77,0,21648024.267747305,0,16681.51825973362,20000.0,0,19
0,78,0,3420233.794513002,1,18244.469259972615,20000.0,0,19
0,79,0,15099801.359177914,0,17383.229202631577,20000.0,0,19
0,80,0,10222106.251467586,1,18596.27504836826,20000.0,0,19
0,81,0,21762388.937330566,0,16745.66759969118,20000.0,0,19
0,82,0,1390574.359809677,0,18375.581309387395,20000.0,0,19
0,83,0,23777245.23528999,1,18556.90887646385,20000.0,0,19
0,84,0,1786185.3436546081,0,18240.025400467955,20000.0,0,19
0,85,0,2133798.4777677758,0,18000.128888213058,20000.0,0,19
0,86,0,8618212.60432884,1,18624.623013863555,20000.0,0,19
0,87,0,27209375.745204285,0,17261.774852497303,20000.0,0,19
0,88,0,5602086.68537083,2,17246.5189294848,20000.0,0,19
0,89,0,10726449.826962138,0,17486.65054761314,20000.0,0,19
0,90,0,1971650.2324443469,0,17064.470954112036,20000.0,0,19
0,91,1,15104517.977086395,1,16876.828134699426,20000.0,0,19
0,92,0,23006358.767241653,0,18500.722010438454,20000.0,0,19
0,93,0,1232664.5263627756,1,15806.176927212508,20000.0,0,19
0,94,0,15717654.443828119,0,16812.385535008187,20000.0,0,19
0,95,0,7964749.46316029,1,18013.655690913245,20000.0,0,19
0,96,1,6110630.864648954,2,17952.55385504864,20000.0,0,19
0,97,0,14267810.16466053,1,17276.11753839316,20000.0,0,19
0,98,1,7817901.098740667,1,16792.268613545268,20000.0,0,19
0,99,0,15954339.613036651,0,18310.88204747046,20000.0,0,19
0,100,0,8229501.287626146,0,18701.316621176855,20000.0,0,19
0,1,0,5344569.278191333,2,16642.751037085003,20000.0,0,19
0,2,1,5271495.832833984,2,17439.542800668514,20000.0,0,19
0,3,0,7411900.272952654,4,17122.024678155878,20000.0,0,19
0,4,0,2030533.7420819886,0,17414.008325470273,20000.0,0,19
0,5,0,13049429.245162318,1,18373.601456330187,20000.0,0,19
0,6,0,5023022.949526098,3,16867.321452676584,20000.0,0,19
0,7,0,8371072.59455627,1,16710.849103242374,20000.0,0,19
0,8,0,756939.569297852,1,15266.252297281904,20000.0,0,19
