run_number,comm_pattern_nodip,comm_pattern,impact_pattern,mig_util,mig_threshold,success
1,1,0,1,51250,1041666.6666666666,0
2,1,0,1,47050,1498333.3333333335,0
3,1,1,1,34916.666666666664,1435000,1
4,0,0,1,26983.333333333332,1015000,0
5,1,0,1,43783.33333333333,1205000,0
6,1,1,1,39116.666666666664,1011666.6666666666,1
7,1,0,1,41916.66666666667,1111666.6666666667,0
8,1,0,1,58483.333333333336,1391666.6666666667,0
9,1,0,1,30016.666666666668,1315000,0
10,0,0,1,54283.33333333333,1035000,0
11,1,0,1,33516.66666666667,1485000,0
12,1,0,1,47283.333333333336,1178333.3333333333,0
13,1,0,1,42616.66666666667,1278333.3333333333,0
14,1,0,1,47750,1438333.3333333335,0
15,1,0,1,55916.666666666664,1298333.3333333333,0
16,0,0,1,33050,1131666.6666666667,0
17,1,0,1,33983.333333333336,1388333.3333333335,0
18,1,0,1,27450,1308333.3333333335,0
19,1,0,1,57783.333333333336,1381666.6666666667,0
20,1,0,1,25583.333333333332,1171666.6666666667,0
21,1,0,1,59883.333333333336,1198333.3333333335,0
22,1,1,1,59650,1355000,1
23,1,1,1,53350,1455000,1
24,1,1,1,38650,1201666.6666666667,1
25,1,0,1,27683.333333333332,1081666.6666666667,0
26,1,0,1,56383.333333333336,1408333.3333333333,0
27,1,0,1,57316.66666666667,1151666.6666666667,0
28,1,0,1,42383.333333333336,1181666.6666666667,0
29,1,0,1,56850,1195000,0
30,1,0,1,53116.66666666667,1361666.6666666667,0
31,1,1,1,58250,1218333.3333333333,1
32,0,0,1,37250,1038333.3333333334,0
33,1,0,1,54750,1265000,0
34,1,1,1,50550,1398333.3333333333,1
35,1,1,1,45883.33333333333,1258333.3333333335,1
36,1,1,1,31416.666666666668,1238333.3333333333,1
37,0,0,1,45416.66666666667,1245000,0
38,1,0,1,44250,1108333.3333333333,0
39,1,1,1,26283.333333333332,1241666.6666666667,1
40,1,1,1,29550,1228333.3333333333,1
41,1,1,1,39816.666666666664,1471666.6666666667,1
42,1,0,1,43083.333333333336,1138333.3333333335,0
43,1,0,1,28616.666666666668,1428333.3333333335,0
44,1,0,1,34450,1305000,0
45,1,0,1,55450,1328333.3333333335,0
46,1,1,1,33750,1065000,1
47,1,0,1,30250,1385000,0
48,1,0,1,35616.66666666667,1161666.6666666667,0
49,1,1,1,35383.333333333336,1118333.3333333333,1
50,1,1,1,57083.333333333336,1491666.6666666667,1
51,1,0,1,58716.66666666667,1121666.6666666667,0
52,0,0,1,55216.66666666667,1028333.3333333334,0
53,1,1,1,32583.333333333336,1335000,1
54,1,0,1,36083.33333333333,1371666.6666666667,0
55,1,0,1,47516.666666666664,1281666.6666666667,0
56,1,0,1,44483.33333333333,1188333.3333333333,0
57,1,0,1,45650,1351666.6666666667,0
58,1,0,1,35150,1318333.3333333335,0
59,1,1,1,35850,1085000,1
60,1,0,1,44016.66666666667,1225000,0
61,0,0,1,34683.333333333336,1005000,0
62,1,1,1,25116.666666666668,1495000,1
63,0,0,1,27916.666666666668,1128333.3333333333,0
64,1,1,1,26050,1091666.6666666667,1
65,0,0,1,54516.66666666667,1458333.3333333335,0
66,1,0,1,36316.66666666667,1141666.6666666667,0
67,1,0,1,52416.66666666667,1431666.6666666667,0
68,1,0,1,46583.333333333336,1251666.6666666667,0
69,1,0,1,53583.33333333333,1465000,0
70,1,0,1,59416.66666666667,1325000,0
71,1,0,1,48683.333333333336,1478333.3333333335,0
72,1,0,1,39350,1425000,0
73,0,0,1,30716.666666666668,1155000,0
74,1,0,1,52650,1441666.6666666665,0
75,0,0,1,46816.666666666664,1211666.6666666667,0
76,1,1,1,37950,1208333.3333333335,1
77,1,0,1,31183.333333333336,1445000,0
78,1,1,1,27216.666666666668,1421666.6666666667,1
79,1,0,1,26516.666666666668,1148333.3333333333,0
80,1,0,1,58950,1275000,0
81,1,0,1,42850,1175000,0
82,1,1,1,49150,1235000,1
83,1,1,1,31650,1191666.6666666667,1
84,1,1,1,36783.333333333336,1291666.6666666667,1
85,0,0,1,43550,1021666.6666666666,0
86,1,0,1,28850,1088333.3333333333,0
87,1,0,1,34216.666666666664,1461666.6666666667,0
88,1,1,1,40750,1488333.3333333335,1
89,1,0,1,43316.66666666667,1448333.3333333335,0
90,1,1,1,41450,1415000,1
91,1,1,1,40983.333333333336,1145000,1
92,1,1,1,39583.333333333336,1168333.3333333333,1
93,1,1,1,28150,1051666.6666666667,1
94,1,1,1,56150,1231666.6666666667,1
95,1,0,1,38183.333333333336,1061666.6666666667,0
96,1,1,1,53816.66666666667,1341666.6666666667,1
97,1,0,1,46116.66666666667,1101666.6666666667,0
98,1,0,1,29783.333333333332,1395000,0
99,1,0,1,44716.66666666667,1475000,0
