,hh_id,migrations,wealth,num_shocked,wtp,wta,found_work,tick,ag_fac,mig_util,mig_threshold,comm_scale
0,1,0,2653497.6918734717,0,16683.86944174838,20000.0,0,19,10000,10000,10000000,0.02
0,2,0,141942.00179795653,0,15055.241004370922,20000.0,0,19,10000,10000,10000000,0.02
0,3,0,33509769.049907975,0,17887.034083096845,20000.0,0,19,10000,10000,10000000,0.02
0,4,0,1299396.225560316,0,17168.537024935016,20000.0,0,19,10000,10000,10000000,0.02
0,5,0,2907953.0807681372,0,18621.849633362013,20000.0,0,19,10000,10000,10000000,0.02
0,6,0,858287.2604545364,0,16740.194064302894,20000.0,0,19,10000,10000,10000000,0.02
0,7,0,10938259.253757993,0,17908.163932837724,20000.0,0,19,10000,10000,10000000,0.02
0,8,0,1786529.201692928,0,17980.136417101385,20000.0,0,19,10000,10000,10000000,0.02
0,9,0,36493276.3388083,0,18168.06460235085,20000.0,0,19,10000,10000,10000000,0.02
0,10,0,7984828.194008802,1,18287.2632863084,20000.0,0,19,10000,10000,10000000,0.02
0,11,0,1314508.561892366,0,17829.75968312752,20000.0,0,19,10000,10000,10000000,0.02
0,12,0,1054604.6345733549,0,16333.837129122347,20000.0,0,19,10000,10000,10000000,0.02
0,13,0,1267407.5278548077,0,17192.758821841897,20000.0,0,19,10000,10000,10000000,0.02
0,14,0,1530625.6091218549,0,16667.135796464925,20000.0,0,19,10000,10000,10000000,0.02
0,15,0,0.0,0,0.0,20000.0,0,19,10000,10000,10000000,0.02
0,16,0,2620087.6315992144,0,17852.244853493397,20000.0,0,19,10000,10000,10000000,0.02
0,17,0,3929319.85589961,0,17952.02263663286,20000.0,0,19,10000,10000,10000000,0.02
0,18,0,1599540.5860839628,0,18432.00563864951,20000.0,0,19,10000,10000,10000000,0.02
0,19,0,34504697.75444689,0,19008.207755375424,20000.0,0,19,10000,10000,10000000,0.02
0,20,0,2088375.5981989915,0,15900.086010311641,20000.0,0,19,10000,10000,10000000,0.02
0,21,0,2087270.9449774127,0,18654.72762145774,20000.0,0,19,10000,10000,10000000,0.02
0,22,0,0.0,0,16058.367110954257,20000.0,0,19,10000,10000,10000000,0.02
0,23,0,2627594.7197793256,0,17020.334657124105,20000.0,0,19,10000,10000,10000000,0.02
0,24,0,71197.2006004429,0,17678.166324991176,20000.0,0,19,10000,10000,10000000,0.02
0,25,0,931135.1756635847,0,16369.399568112221,20000.0,0,19,10000,10000,10000000,0.02
0,26,0,3140108.8536231155,0,17277.705804849,20000.0,0,19,10000,10000,10000000,0.02
0,27,0,2283415.937705699,0,17369.054959194145,20000.0,0,19,10000,10000,10000000,0.02
0,28,0,1567737.3691346634,0,16718.510325516898,20000.0,0,19,10000,10000,10000000,0.02
0,29,0,2031206.8262015423,0,17693.517419860906,20000.0,0,19,10000,10000,10000000,0.02
0,30,0,2401331.1879888554,0,18064.461474494812,20000.0,0,19,10000,10000,10000000,0.02
0,31,0,719364.5352845124,0,12714.563406106194,20000.0,0,19,10000,10000,10000000,0.02
0,32,0,3105645.07634939,0,17994.75776380278,20000.0,0,19,10000,10000,10000000,0.02
0,33,0,2339283.8835629364,0,16400.21750857166,20000.0,0,19,10000,10000,10000000,0.02
0,34,0,1243049.521458292,1,18186.110786045258,20000.0,0,19,10000,10000,10000000,0.02
0,35,0,1476641.9178343348,0,18031.817027124212,20000.0,0,19,10000,10000,10000000,0.02
0,36,0,1425890.5327092032,0,17028.58235994958,20000.0,0,19,10000,10000,10000000,0.02
0,37,0,3177207.062373981,0,17515.50180200613,20000.0,0,19,10000,10000,10000000,0.02
0,38,0,2375691.6098426795,0,17439.371472789906,20000.0,0,19,10000,10000,10000000,0.02
0,39,0,2197634.217097093,1,18674.907616915913,20000.0,0,19,10000,10000,10000000,0.02
0,40,0,562624.2469065287,1,16366.996747570556,20000.0,0,19,10000,10000,10000000,0.02
0,41,0,564498.1881198973,0,18290.445505129166,20000.0,0,19,10000,10000,10000000,0.02
