,hh_id,migrations,wealth,num_shocked,wtp,wta,found_work,tick,ag_fac,mig_util,mig_threshold,comm_scale
0,1,2,453180.62063879624,0,18557.552198928355,20000.0,0,19,10000,10000,100000,0.05
0,2,1,1100094.7054226815,1,17205.252933621006,20000.0,0,19,10000,10000,100000,0.05
0,3,1,1453860.06554658,0,17399.83630967696,20000.0,0,19,10000,10000,100000,0.05
0,4,3,733922.7316148684,0,16913.815707711976,20000.0,0,19,10000,10000,100000,0.05
0,5,2,2285554.0986276483,0,17697.35685895592,20000.0,0,19,10000,10000,100000,0.05
0,6,0,0.0,0,5423.248253347825,20000.0,0,19,10000,10000,100000,0.05
0,7,0,23216.351423180546,0,16759.01878224547,20000.0,0,19,10000,10000,100000,0.05
0,8,0,36189553.98507905,0,18210.869248903957,20000.0,0,19,10000,10000,100000,0.05
0,9,0,0.0,0,17130.061113700714,20000.0,0,19,10000,10000,100000,0.05
0,10,3,1395205.5790314106,1,17449.281960906417,20000.0,0,19,10000,10000,100000,0.05
0,11,3,606470.3949579687,0,18483.11019111024,20000.0,0,19,10000,10000,100000,0.05
0,12,0,24989048.77114344,0,18272.128611974906,20000.0,0,19,10000,10000,100000,0.05
0,13,1,2219715.9157138546,0,17639.274811838968,20000.0,0,19,10000,10000,100000,0.05
0,14,0,1371381.6314199257,1,18026.08148367629,20000.0,0,19,10000,10000,100000,0.05
0,15,3,318637.3314935338,1,17586.603130798427,20000.0,0,19,10000,10000,100000,0.05
0,16,0,31587533.289812163,0,18200.157886313063,20000.0,0,19,10000,10000,100000,0.05
0,17,1,974806.2790660559,0,16600.411735861016,20000.0,0,19,10000,10000,100000,0.05
0,18,2,1617324.7527184375,0,16809.65210842171,20000.0,0,19,10000,10000,100000,0.05
0,19,1,813644.3767672866,2,18407.383088506336,20000.0,0,19,10000,10000,100000,0.05
0,20,2,2178838.953288555,0,17368.632241831347,20000.0,0,19,10000,10000,100000,0.05
0,21,0,2129254.184770832,0,17897.44384478808,20000.0,0,19,10000,10000,100000,0.05
0,22,0,0.0,0,15775.457759963303,20000.0,0,19,10000,10000,100000,0.05
0,23,0,872887.7635540969,0,17340.663611855653,20000.0,0,19,10000,10000,100000,0.05
0,24,0,41649966.379443645,0,18352.907919120382,20000.0,0,19,10000,10000,100000,0.05
0,25,0,0.0,0,15549.558220836823,20000.0,0,19,10000,10000,100000,0.05
0,26,0,0.0,0,17962.652939285632,20000.0,0,19,10000,10000,100000,0.05
0,27,2,1158361.9038775032,1,16896.39140455452,20000.0,0,19,10000,10000,100000,0.05
0,28,0,35868062.06983134,0,19081.854102177025,20000.0,0,19,10000,10000,100000,0.05
0,29,0,40977.678262831876,0,16998.557977903547,20000.0,0,19,10000,10000,100000,0.05
0,30,0,0.0,0,14740.207746019023,20000.0,0,19,10000,10000,100000,0.05
0,31,1,2853134.3300434863,0,17452.70331433521,20000.0,0,19,10000,10000,100000,0.05
0,32,2,471114.24999349687,0,18504.289883325935,20000.0,0,19,10000,10000,100000,0.05
0,33,0,18945350.24052462,0,18609.768241298214,20000.0,0,19,10000,10000,100000,0.05
0,34,1,370217.24518183194,0,18282.377172896628,20000.0,0,19,10000,10000,100000,0.05
0,35,0,5622.372591302483,1,17919.29239036023,20000.0,0,19,10000,10000,100000,0.05
0,36,1,1093923.4403962167,0,18176.87692778069,20000.0,0,19,10000,10000,100000,0.05
0,37,3,304444.030608746,0,17243.759887102966,20000.0,0,19,10000,10000,100000,0.05
0,38,0,0.0,0,16397.99646913601,20000.0,0,19,10000,10000,100000,0.05
0,39,2,2480980.739092523,0,18443.306584135265,20000.0,0,19,10000,10000,100000,0.05
0,40,0,0.0,0,16293.624272369267,20000.0,0,19,10000,10000,100000,0.05
0,41,0,51963385.99253716,0,18054.02106838096,20000.0,0,19,10000,10000,100000,0.05
0,42,0,0.0,0,16359.42833197483,20000.0,0,19,10000,10000,100000,0.05
0,43,4,1282015.9298983992,0,18534.04438068995,20000.0,0,19,10000,10000,100000,0.05
0,44,0,0.0,0,14484.591417743166,20000.0,0,19,10000,10000,100000,0.05
0,45,0,0.0,0,17515.30520536332,20000.0,0,19,10000,10000,100000,0.05
0,46,1,1005409.3797913897,1,15147.88874189568,20000.0,0,19,10000,10000,100000,0.05
0,47,0,0.0,1,17813.909501059537,20000.0,0,19,10000,10000,100000,0.05
0,48,3,1188052.5575323848,0,18172.226952606165,20000.0,0,19,10000,10000,100000,0.05
0,49,0,0.0,1,17185.452417103246,20000.0,0,19,10000,10000,100000,0.05
0,50,0,8966.971399777001,0,17562.844224007647,20000.0,0,19,10000,10000,100000,0.05
0,51,1,2892150.4870097027,0,17929.679049793147,20000.0,0,19,10000,10000,100000,0.05
0,52,0,0.0,0,0.0,20000.0,0,19,10000,10000,100000,0.05
0,53,0,2064893.5531693136,0,17570.816071504574,20000.0,0,19,10000,10000,100000,0.05
0,54,2,2151077.150526923,0,17167.245495508363,20000.0,0,19,10000,10000,100000,0.05
0,55,2,1418396.5736516363,0,17075.083843342556,20000.0,0,19,10000,10000,100000,0.05
0,56,4,1021618.6759949023,0,16740.047861835377,20000.0,0,19,10000,10000,100000,0.05
0,57,0,19436870.450745296,0,17812.53583507715,20000.0,0,19,10000,10000,100000,0.05
0,58,1,0.0,0,16638.890185382803,20000.0,0,19,10000,10000,100000,0.05
0,59,5,1122789.8199532973,1,17467.870206637228,20000.0,0,19,10000,10000,100000,0.05
0,60,1,1964418.1516146292,0,18450.19842364058,20000.0,0,19,10000,10000,100000,0.05
0,61,1,1361227.387196551,0,18235.953416740158,20000.0,0,19,10000,10000,100000,0.05
0,62,1,235335.85479466326,2,18404.851956952258,20000.0,0,19,10000,10000,100000,0.05
0,63,0,0.0,0,14491.277196735316,20000.0,0,19,10000,10000,100000,0.05
0,64,1,1032348.4569834379,1,16384.573553070688,20000.0,0,19,10000,10000,100000,0.05
0,65,0,0.0,0,18147.14098858346,20000.0,0,19,10000,10000,100000,0.05
0,66,0,26982340.301646322,0,18790.929450537045,20000.0,0,19,10000,10000,100000,0.05
0,67,1,1538822.8133727044,1,18699.721626380437,20000.0,0,19,10000,10000,100000,0.05
0,68,0,0.0,0,17281.196718553263,20000.0,0,19,10000,10000,100000,0.05
0,69,2,606933.7319633227,0,16951.41303895724,20000.0,0,19,10000,10000,100000,0.05
0,70,1,2365116.716255538,0,16729.826672565563,20000.0,0,19,10000,10000,100000,0.05
0,71,5,980088.7723168229,0,17993.793005997304,20000.0,0,19,10000,10000,100000,0.05
0,72,2,505818.64909840573,0,16854.695132045425,20000.0,0,19,10000,10000,100000,0.05
