,hh_id,migrations,wealth,num_shocked,wtp,wta,found_work,tick,ag_fac,mig_util,mig_threshold,comm_scale
0,1,0,1191937.0255014263,0,18205.07120968263,20000.0,0,19,10000,10000,1000000,0
0,2,2,936944.0186618448,0,17308.500065080272,20000.0,0,19,10000,10000,1000000,0
0,3,0,512067.44661657856,0,17770.914276978994,20000.0,0,19,10000,10000,1000000,0
0,4,1,1665627.913819142,0,18206.10062462713,20000.0,0,19,10000,10000,1000000,0
0,5,0,1008373.0456068798,0,16750.751047564692,20000.0,0,19,10000,10000,1000000,0
0,6,0,323900.14056265884,0,13925.158429609064,20000.0,0,19,10000,10000,1000000,0
0,7,0,719567.6059432956,0,17162.692090664055,20000.0,0,19,10000,10000,1000000,0
0,8,1,476348.5939533226,0,16024.790044119667,20000.0,0,19,10000,10000,1000000,0
0,9,1,868701.5177648241,0,17397.999488367674,20000.0,0,19,10000,10000,1000000,0
0,10,1,612940.3437629476,0,17050.011275103363,20000.0,0,19,10000,10000,1000000,0
0,11,1,957537.7267134623,0,17862.87450936954,20000.0,0,19,10000,10000,1000000,0
0,12,0,2751788.394365489,0,17749.345254243326,20000.0,0,19,10000,10000,1000000,0
0,13,0,0.0,0,15195.04871328192,20000.0,0,19,10000,10000,1000000,0
0,14,0,0.0,0,16086.009495077788,20000.0,0,19,10000,10000,1000000,0
0,15,1,686739.5652131547,0,17679.075441776724,20000.0,0,19,10000,10000,1000000,0
0,16,1,1096222.4568742933,0,17741.57668611918,20000.0,0,19,10000,10000,1000000,0
0,17,1,1124513.951035059,0,17015.013809717544,20000.0,0,19,10000,10000,1000000,0
0,18,2,955721.5518715258,0,17892.664360228424,20000.0,0,19,10000,10000,1000000,0
0,19,0,720268.3348357258,0,14872.777797779669,20000.0,0,19,10000,10000,1000000,0
0,20,1,2178807.9495936045,0,18169.99409479509,20000.0,0,19,10000,10000,1000000,0
0,21,1,365947.6574670059,0,17970.33135285561,20000.0,0,19,10000,10000,1000000,0
0,22,1,910390.074491954,0,18728.619369768647,20000.0,0,19,10000,10000,1000000,0
0,23,0,0.0,0,15473.49008385499,20000.0,0,19,10000,10000,1000000,0
0,24,0,556597.2734930522,0,17167.179625347475,20000.0,0,19,10000,10000,1000000,0
0,25,0,0.0,0,10684.58637406192,20000.0,0,19,10000,10000,1000000,0
0,26,0,724561.5277028013,0,18191.61288587021,20000.0,0,19,10000,10000,1000000,0
0,27,0,1058102.3385006392,0,15776.788323237673,20000.0,0,19,10000,10000,1000000,0
0,28,1,1278106.4756043977,0,17536.743282729978,20000.0,0,19,10000,10000,1000000,0
0,29,0,835410.8397426545,0,17074.28870044679,20000.0,0,19,10000,10000,1000000,0
0,30,1,203221.3899083337,0,16745.30406747557,20000.0,0,19,10000,10000,1000000,0
0,31,0,31778619.503265973,0,18976.09010215757,20000.0,0,19,10000,10000,1000000,0
0,32,0,19731731.152221855,0,17735.318073409067,20000.0,0,19,10000,10000,1000000,0
0,33,1,2422095.7918662163,0,18862.03143789416,20000.0,0,19,10000,10000,1000000,0
0,34,1,406427.6843552813,0,15802.986647849171,20000.0,0,19,10000,10000,1000000,0
0,35,2,491377.5533177402,0,17971.49081170282,20000.0,0,19,10000,10000,1000000,0
0,36,2,934120.4978277563,0,18811.0836492904,20000.0,0,19,10000,10000,1000000,0
0,37,1,613091.4458745875,0,16801.151188126332,20000.0,0,19,10000,10000,1000000,0
0,38,0,0.0,0,17643.978238147047,20000.0,0,19,10000,10000,1000000,0
0,39,0,0.0,0,16684.378200304945,20000.0,0,19,10000,10000,1000000,0
0,40,2,869518.283972709,0,17880.690253957688,20000.0,0,19,10000,10000,1000000,0
0,41,0,990615.8301196485,0,16119.269131914858,20000.0,0,19,10000,10000,1000000,0
0,42,0,0.0,0,17960.722499549767,20000.0,0,19,10000,10000,1000000,0
0,43,1,1644880.4787246722,0,18936.489129672795,20000.0,0,19,10000,10000,1000000,0
0,44,0,603904.7540647854,0,15638.741367952645,20000.0,0,19,10000,10000,1000000,0
0,45,0,0.0,0,12708.38623791653,20000.0,0,19,10000,10000,1000000,0
0,46,0,43599916.40987226,0,17552.20091828995,20000.0,0,19,10000,10000,1000000,0
0,47,0,649029.027254138,0,16101.64809242889,20000.0,0,19,10000,10000,1000000,0
0,48,1,1193416.6998889688,0,17668.48392819995,20000.0,0,19,10000,10000,1000000,0
0,49,0,743177.4255219082,0,15598.5718612576,20000.0,0,19,10000,10000,1000000,0
0,50,2,2017283.6343142036,0,18074.745841570697,20000.0,0,19,10000,10000,1000000,0
0,51,1,1157571.35950891,0,18552.76479258873,20000.0,0,19,10000,10000,1000000,0
0,52,1,348108.12406459963,0,18561.368758533055,20000.0,0,19,10000,10000,1000000,0
0,53,1,1042421.7617962733,0,18693.02197721573,20000.0,0,19,10000,10000,1000000,0
0,54,0,0.0,0,16474.686772641173,20000.0,0,19,10000,10000,1000000,0
0,55,0,47946596.86326524,0,18198.859373511194,20000.0,0,19,10000,10000,1000000,0
0,56,1,1894276.7377773407,0,18098.569674982205,20000.0,0,19,10000,10000,1000000,0
0,57,0,579650.6979673611,0,17936.180240615067,20000.0,0,19,10000,10000,1000000,0
0,58,0,1421968.4253350596,0,18309.308105583103,20000.0,0,19,10000,10000,1000000,0
0,59,0,391758.8493608014,0,15300.795594785905,20000.0,0,19,10000,10000,1000000,0
0,60,0,1873047.6255346476,0,17323.04337612293,20000.0,0,19,10000,10000,1000000,0
0,61,0,835993.560306774,0,15883.131186185554,20000.0,0,19,10000,10000,1000000,0
0,62,0,12756.09676819155,0,12471.680639078359,20000.0,0,19,10000,10000,1000000,0
0,63,2,636287.3269483547,0,17221.16300189896,20000.0,0,19,10000,10000,1000000,0
0,64,1,1757234.9166676921,0,18349.191420676318,20000.0,0,19,10000,10000,1000000,0
0,65,0,14695.428382861544,0,17925.737485316873,20000.0,0,19,10000,10000,1000000,0
0,66,0,19915176.752588533,0,17958.23166740285,20000.0,0,19,10000,10000,1000000,0
0,67,2,383470.3946705351,0,18245.16558482325,20000.0,0,19,10000,10000,1000000,0
0,68,2,609901.3279974302,0,16975.354205116975,20000.0,0,19,10000,10000,1000000,0
0,69,0,27430379.74064287,0,18551.647429756238,20000.0,0,19,10000,10000,1000000,0
0,70,0,316337.3092133155,0,13436.111768949633,20000.0,0,19,10000,10000,1000000,0
0,71,0,1012115.1700485146,0,17367.58586181407,20000.0,0,19,10000,10000,1000000,0
0,72,1,1542208.515453217,0,17091.850925781004,20000.0,0,19,10000,10000,1000000,0
0,73,1,1066097.5065267754,0,18825.771655273616,20000.0,0,19,10000,10000,1000000,0
0,74,0,395909.06304190523,0,8509.685852204748,20000.0,0,19,10000,10000,1000000,0
0,75,2,901806.3994104316,0,17928.174453537886,20000.0,0,19,10000,10000,1000000,0
0,76,0,250776.90537417104,0,15060.68818000445,20000.0,0,19,10000,10000,1000000,0
0,77,1,285622.6819680991,0,17337.232464668254,20000.0,0,19,10000,10000,1000000,0
0,78,1,756650.4222771983,0,17882.753616104314,20000.0,0,19,10000,10000,1000000,0
0,79,1,474636.9231987745,0,16158.130450025514,20000.0,0,19,10000,10000,1000000,0
0,80,1,945742.5133839122,0,18153.542938720013,20000.0,0,19,10000,10000,1000000,0
0,81,1,1157096.527599154,0,16884.72690689524,20000.0,0,19,10000,10000,1000000,0
0,82,1,234625.25337586337,0,15479.288731220235,20000.0,0,19,10000,10000,1000000,0
0,83,1,1938758.0027907968,0,17923.936286869826,20000.0,0,19,10000,10000,1000000,0
0,84,0,34779361.22653624,0,17575.830168969183,20000.0,0,19,10000,10000,1000000,0
0,85,0,2182247.773118526,0,18530.913662693667,20000.0,0,19,10000,10000,1000000,0
0,86,0,40615328.690778345,0,18431.127952161452,20000.0,0,19,10000,10000,1000000,0
0,87,1,726183.5427141885,0,17223.424687329294,20000.0,0,19,10000,10000,1000000,0
0,88,0,8319.379827025434,0,16643.474170598325,20000.0,0,19,10000,10000,1000000,0
0,89,0,1104875.023327782,0,14823.829104618202,20000.0,0,19,10000,10000,1000000,0
0,90,0,544259.5039065396,0,17469.41972349953,20000.0,0,19,10000,10000,1000000,0
0,91,0,814142.580309779,0,17425.26375551692,20000.0,0,19,10000,10000,1000000,0
0,92,1,245039.8013090841,0,17939.099059526197,20000.0,0,19,10000,10000,1000000,0
0,93,2,342877.3393632427,0,17267.50256717344,20000.0,0,19,10000,10000,1000000,0
0,94,0,190745.3955234525,0,17608.75555318805,20000.0,0,19,10000,10000,1000000,0
0,95,1,316472.980098911,0,16262.492961450303,20000.0,0,19,10000,10000,1000000,0
0,96,0,30163583.48239584,0,18878.07235488019,20000.0,0,19,10000,10000,1000000,0
0,97,1,826615.7829729246,0,18026.97583004884,20000.0,0,19,10000,10000,1000000,0
0,98,0,0.0,0,15016.306788344591,20000.0,0,19,10000,10000,1000000,0
0,99,1,1311745.5492121147,0,17632.45002842498,20000.0,0,19,10000,10000,1000000,0
0,100,0,274876.6464686749,0,18108.894024444697,20000.0,0,19,10000,10000,1000000,0
0,1,0,791388.722370899,0,14702.809777273336,20000.0,0,19,10000,10000,1000000,0
0,2,0,17377433.420768116,0,18310.956330380257,20000.0,0,19,10000,10000,1000000,0
0,3,1,775542.5228140453,0,18076.040072822812,20000.0,0,19,10000,10000,1000000,0
0,4,0,29320989.93015079,0,18893.686857894718,20000.0,0,19,10000,10000,1000000,0
0,5,0,51855007.04312141,0,17900.420581190967,20000.0,0,19,10000,10000,1000000,0
0,6,0,714208.9891252124,0,14387.255996247728,20000.0,0,19,10000,10000,1000000,0
0,7,2,410707.1219342423,0,17734.55511556641,20000.0,0,19,10000,10000,1000000,0
0,8,1,1441341.3003293863,0,18112.31563043832,20000.0,0,19,10000,10000,1000000,0
0,9,1,718554.7637836013,0,17603.576675879165,20000.0,0,19,10000,10000,1000000,0
0,10,0,0.0,0,15577.742059276823,20000.0,0,19,10000,10000,1000000,0
0,11,0,1362980.3495574084,0,17260.526971594427,20000.0,0,19,10000,10000,1000000,0
0,12,0,1465787.659832296,0,17063.032668506698,20000.0,0,19,10000,10000,1000000,0
