,hh_id,migrations,wealth,num_shocked,wtp,wta,found_work,tick,ag_fac,mig_util,mig_threshold,comm_scale
0,1,0,0.0,1,16830.366953208028,8579.29401069889,4021,19,10000,50000,1000000,0.4
0,2,0,0.0,1,16696.66145744706,1286.2926554471276,4021,19,10000,50000,1000000,0.4
0,3,0,0.0,1,18534.04032885735,3037.422823610247,4021,19,10000,50000,1000000,0.4
0,4,0,0.0,1,16370.295178084372,641.7300039374552,4021,19,10000,50000,1000000,0.4
0,5,0,0.0,1,17985.763138426857,2980.8433164265625,4021,19,10000,50000,1000000,0.4
0,6,0,0.0,2,17677.19876338895,15167.948650896597,4021,19,10000,50000,1000000,0.4
0,7,0,0.0,0,18196.92244445497,12123.71609729384,4021,19,10000,50000,1000000,0.4
0,8,0,0.0,1,17825.831784913225,830.1417681915813,4021,19,10000,50000,1000000,0.4
0,9,0,0.0,0,18660.283215524556,3708.942479617041,4021,19,10000,50000,1000000,0.4
0,10,0,0.0,2,15937.388459997843,5249.0517143766865,4021,19,10000,50000,1000000,0.4
0,11,0,0.0,1,17897.57074705921,8976.09709165631,4021,19,10000,50000,1000000,0.4
0,12,0,0.0,1,18869.13778562667,17257.607430293883,4021,19,10000,50000,1000000,0.4
0,13,0,0.0,1,18952.457615380943,8969.086846341661,4021,19,10000,50000,1000000,0.4
0,14,0,0.0,0,15347.668441578486,12316.150301046102,4021,19,10000,50000,1000000,0.4
0,15,0,0.0,0,18386.475442529867,17041.017527762804,4021,19,10000,50000,1000000,0.4
0,16,0,0.0,0,15966.66478589039,13871.024458203045,4021,19,10000,50000,1000000,0.4
0,17,0,0.0,2,16850.39469365815,11311.730367942078,4021,19,10000,50000,1000000,0.4
0,18,0,0.0,1,8523.917094306626,2303.330075043268,4021,19,10000,50000,1000000,0.4
0,19,0,0.0,1,17477.074036097245,5074.103480327419,4021,19,10000,50000,1000000,0.4
0,20,0,0.0,1,17648.987646288868,308.6112890975801,4021,19,10000,50000,1000000,0.4
0,21,0,0.0,2,17337.41381348827,12018.117478587244,4021,19,10000,50000,1000000,0.4
0,22,0,0.0,1,17746.57634498975,18552.436821871222,4021,19,10000,50000,1000000,0.4
0,23,1,4799401.31790354,1,18479.421026615702,3291.1172194298465,4021,19,10000,50000,1000000,0.4
0,24,0,0.0,1,17794.89653466914,9139.007000428865,4021,19,10000,50000,1000000,0.4
0,25,0,0.0,0,15930.289548007451,4377.984312072081,4021,19,10000,50000,1000000,0.4
0,26,0,0.0,0,17281.70642272652,16397.96577548631,4021,19,10000,50000,1000000,0.4
0,27,0,0.0,2,18098.041907794573,16044.510112503545,4021,19,10000,50000,1000000,0.4
0,28,0,0.0,2,17972.918350040218,19991.34711385927,4021,19,10000,50000,1000000,0.4
0,29,0,0.0,0,16393.42379852895,6679.633360561923,4021,19,10000,50000,1000000,0.4
0,30,0,0.0,1,16150.9980800169,19003.790681105565,4021,19,10000,50000,1000000,0.4
0,31,1,123091.78233746256,2,17579.095048965948,5112.628128822738,4021,19,10000,50000,1000000,0.4
0,32,0,0.0,1,18535.53043262632,6202.8188253841245,4021,19,10000,50000,1000000,0.4
0,33,0,0.0,1,18608.583567345482,19450.24576443203,4021,19,10000,50000,1000000,0.4
0,34,0,0.0,1,17681.930084820036,14620.209745184446,4021,19,10000,50000,1000000,0.4
0,35,0,0.0,1,17896.804724987604,18931.43587945433,4021,19,10000,50000,1000000,0.4
0,36,0,0.0,1,17653.34244781966,3869.415960280398,4021,19,10000,50000,1000000,0.4
0,37,0,0.0,0,18489.680683809816,10619.040304353202,4021,19,10000,50000,1000000,0.4
0,38,0,0.0,1,17147.48754594973,5941.17817669592,4021,19,10000,50000,1000000,0.4
0,39,0,0.0,0,17160.00191245847,8557.100474195673,4021,19,10000,50000,1000000,0.4
0,40,0,0.0,1,17897.27974876205,760.5756855440537,4021,19,10000,50000,1000000,0.4
0,41,0,0.0,0,18731.649598090473,14343.660836825946,4021,19,10000,50000,1000000,0.4
0,42,0,0.0,0,17701.96510884199,4101.63738960228,4021,19,10000,50000,1000000,0.4
0,43,0,0.0,1,15091.336976187918,13586.585935325984,4021,19,10000,50000,1000000,0.4
0,44,0,0.0,1,17306.930944119267,2363.2741657843594,4021,19,10000,50000,1000000,0.4
0,45,0,0.0,1,16745.760126433946,3605.7689967211127,4021,19,10000,50000,1000000,0.4
0,46,0,0.0,1,17983.760001366,19411.491561712282,4021,19,10000,50000,1000000,0.4
0,47,0,0.0,1,17978.79763125029,17435.717153631253,4021,19,10000,50000,1000000,0.4
0,48,0,0.0,0,15682.81971646072,19440.925179128593,4021,19,10000,50000,1000000,0.4
0,49,0,0.0,1,17863.766226745196,8599.868780982322,4021,19,10000,50000,1000000,0.4
0,50,0,2923945.6719937823,0,18458.68821536748,6959.14004749476,4021,19,10000,50000,1000000,0.4
0,51,0,0.0,1,18552.38827166154,8658.126236975411,4021,19,10000,50000,1000000,0.4
0,52,1,17016866.018910304,1,19011.647107353077,18174.003829734556,4021,19,10000,50000,1000000,0.4
0,53,0,0.0,0,18069.430779849623,11943.449628745351,4021,19,10000,50000,1000000,0.4
0,54,0,0.0,1,16504.796912508576,2134.3728866102406,4021,19,10000,50000,1000000,0.4
0,55,0,0.0,0,18442.105844287667,3699.536918197912,4021,19,10000,50000,1000000,0.4
0,56,0,0.0,1,17284.278700878775,12477.458188261031,4021,19,10000,50000,1000000,0.4
0,57,0,0.0,2,18245.99115451362,125.04165498002706,4021,19,10000,50000,1000000,0.4
0,58,0,0.0,1,15164.163099651536,11288.35400339597,4021,19,10000,50000,1000000,0.4
0,59,0,0.0,1,17913.63176796557,337.0888951423456,4021,19,10000,50000,1000000,0.4
0,60,0,0.0,2,17391.740273953925,4230.872786989601,4021,19,10000,50000,1000000,0.4
0,61,0,0.0,1,17330.99521009303,17771.4971512473,4021,19,10000,50000,1000000,0.4
0,62,0,0.0,0,16407.003215415272,17072.692554783654,4021,19,10000,50000,1000000,0.4
0,63,0,0.0,0,18084.060789962146,10633.992273003629,4021,19,10000,50000,1000000,0.4
0,64,0,0.0,1,12408.441176787259,17478.582141918316,4021,19,10000,50000,1000000,0.4
0,65,0,0.0,0,15214.092436161978,1596.6457944185142,4021,19,10000,50000,1000000,0.4
0,66,0,0.0,1,18392.95286712643,6640.295121964894,4021,19,10000,50000,1000000,0.4
0,67,0,72415.58581026293,0,15140.8742954417,12065.335050954322,4021,19,10000,50000,1000000,0.4
0,68,0,38474636.68952016,0,18399.72220561451,9906.328557032712,4021,19,10000,50000,1000000,0.4
0,69,0,0.0,1,18407.2047273162,14545.733538970486,4021,19,10000,50000,1000000,0.4
0,70,0,25381432.380971815,0,18508.84493302092,18401.890738119248,4021,19,10000,50000,1000000,0.4
0,71,0,0.0,2,18510.905956357135,6590.585149536761,4021,19,10000,50000,1000000,0.4
0,72,0,0.0,0,15420.831460759198,11321.712025868434,4021,19,10000,50000,1000000,0.4
0,73,0,0.0,1,17586.368490041892,18189.19687521326,4021,19,10000,50000,1000000,0.4
0,74,0,34404170.45800611,0,19157.988062891043,11908.301271237346,4021,19,10000,50000,1000000,0.4
0,75,0,0.0,2,16412.091359668324,13389.090067419847,4021,19,10000,50000,1000000,0.4
0,76,0,559695.1388528788,0,16959.45442901498,4418.8692179765085,4021,19,10000,50000,1000000,0.4
0,77,1,153606.574011321,2,17645.637112801618,8353.919371180686,4021,19,10000,50000,1000000,0.4
0,78,0,436470.79726775654,1,18369.299924164807,8683.266343637477,4021,19,10000,50000,1000000,0.4
0,79,0,0.0,1,16472.54683705879,670.1369831773762,4021,19,10000,50000,1000000,0.4
0,80,0,0.0,1,18791.055798569745,19328.321878437502,4021,19,10000,50000,1000000,0.4
0,81,1,800371.1783988975,1,18475.979663237824,10467.741729379619,4021,19,10000,50000,1000000,0.4
0,82,0,0.0,1,17677.155308964204,9896.908315708859,4021,19,10000,50000,1000000,0.4
0,83,0,0.0,1,18110.437471429257,9477.844910480584,4021,19,10000,50000,1000000,0.4
