,Household,Homestead,Cropland,Aquaculture land,Other
3,10_537_3240,49.0,297.0,165.0,0
4,10_537_3261,11.0,132.0,66.0,0
5,10_537_3281,18.0,8.0,165.0,0
6,10_537_3301,25.0,83.0,462.0,0
7,10_537_3321,4.0,99.0,99.0,0
8,10_537_3341,11.0,132.0,66.0,0
9,11_537_3361,4.0,129.0,0,0
10,11_537_3382,5.0,33.0,0,3.0
14,11_537_3462,17.0,99.0,0,0
16,12_537_3503,15.0,33.0,0,0
19,12_537_3563,10.0,33.0,0,0
21,12_537_3604,4.0,82.0,0,12.0
22,12_537_3623,18.0,33.0,0,0
26,12_537_3704,4.0,32.0,0,0
29,12_537_3765,5.0,33.0,47.0,0
30,13_537_3785,7.5,132.0,132.0,0
32,13_537_3826,7.0,99.0,0,0
34,13_537_3866,83.0,300.0,495.0,0
37,13_537_3926,4.0,66.0,0,0
39,13_537_3967,4.0,33.0,396.0,0
40,13_537_3987,5.0,99.0,0,0
47,1_216_1051,48.0,99.0,0,0
55,1_216_1131,22.0,40.0,0,0
58,1_216_1166,4.0,17.0,0,0
63,1_216_1213,24.0,33.0,0,0
78,1_216_1379,26.0,182.0,0,0
81,1_216_1414,20.0,100.0,0,0
97,1_216_1567,25.0,48.0,48.0,0
101,1_216_1614,34.0,208.0,208.0,0
116,1_216_285,23.0,90.0,0,0
119,1_216_321,25.0,52.0,338.0,0
120,1_216_332,33.0,76.0,0,0
121,1_216_344,7.0,52.0,467.0,0
124,1_216_38,11.0,116.0,0,0
127,1_216_403,22.0,180.0,45.0,0
131,1_216_450,5.0,8.0,0,0
133,1_216_474,8.0,30.0,0,0
134,1_216_485,15.5,99.0,0,0
149,1_216_638,13.0,10.0,0,0
150,1_216_650,12.0,150.0,0,0
153,1_216_684,25.0,30.0,0,0
156,1_216_721,20.0,231.0,0,0
157,1_216_732,17.0,66.0,0,0
159,1_216_744,23.0,126.0,0,0
161,1_216_768,8.0,150.0,0,0
166,1_216_826,19.0,416.0,0,0
167,1_216_838,54.0,160.0,0,0
172,1_216_885,26.0,52.0,0,0
173,1_216_898,68.0,99.0,0,0
174,1_216_909,4.0,26.0,0,0
176,1_216_932,27.0,104.0,0,0
178,1_216_956,52.0,165.0,0,0
183,1_287_1,27.0,268.0,660.0,0
184,1_287_10,27.0,84.0,0,0
185,1_287_100,11.0,42.0,0,0
186,1_287_102,17.0,73.0,10.0,0
187,1_287_103,8.0,84.0,0,0
188,1_287_105,3.0,33.0,0,0
190,1_287_108,10.0,20.0,82.0,0
191,1_287_11,2.0,22.0,0,0
192,1_287_110,10.0,33.0,252.0,0
193,1_287_112,31.0,16.0,0,0
195,1_287_115,12.0,15.0,0,0
197,1_287_118,22.0,8.0,0,0
198,1_287_120,10.0,40.0,0,0
199,1_287_122,10.0,10.0,0,0
204,1_287_13,2.0,22.0,0,0
205,1_287_130,7.0,20.0,0,0
209,1_287_137,5.0,42.0,0,0
210,1_287_139,19.0,80.0,0,0
211,1_287_140,20.0,126.0,0,0
212,1_287_142,12.0,8.0,0,0
213,1_287_144,12.0,48.0,0,0
214,1_287_146,18.0,70.0,0,0
215,1_287_147,8.0,49.0,0,21.0
216,1_287_149,31.0,37.0,0,0
218,1_287_150,7.0,10.0,0,0
220,1_287_154,8.0,16.0,0,0
221,1_287_155,8.0,16.0,0,0
222,1_287_157,15.0,60.0,0,200.0
224,1_287_160,24.0,84.0,0,0
225,1_287_161,6.0,32.0,0,0
226,1_287_162,8.0,25.0,0,0
228,1_287_165,3.0,42.0,0,0
231,1_287_170,6.0,26.0,0,0
