,hh_id,migrations,num_shocked,tick,wealth
0,1,0,1,0,0.0003768084197887815
0,2,0,1,0,0.00042270954676013116
0,3,0,0,0,7000.001681557931
0,4,0,0,0,7150.442583703668
0,5,0,0,0,1200.0003268260218
0,6,0,0,0,1414.5810938360976
0,7,0,0,0,1199.6787227531543
0,8,0,1,0,162.49473465935785
0,9,0,1,0,4.82959391861906e-05
0,10,0,0,0,670.552588022217
0,11,0,0,0,4055.239998587099
0,12,0,1,0,1.296181462065181e-05
0,13,0,0,0,9895.316430319492
0,14,0,1,0,0.00012779564680076488
0,15,0,0,0,2884.180421072113
0,16,0,1,0,0.0004071099866018245
0,17,0,1,0,5.240297919577376e-05
0,18,0,1,0,0.00044831792475506647
0,19,0,0,0,892.3915708752678
0,20,0,0,0,7939.546546017611
0,21,0,1,0,0.0011315425527568868
0,22,0,1,0,231.23261465605634
0,23,0,1,0,7.680318392539209e-06
0,24,0,1,0,0.0005722303602202842
0,25,0,0,0,3000.0000823541704
0,26,0,0,0,3500.000445886448
0,27,0,1,0,125.3954390446244
0,28,0,1,0,1.6448291692824706e-05
0,29,0,1,0,803.069277558139
0,30,0,1,0,195.23482043515708
0,31,0,0,0,2582.8755056665664
0,32,0,0,0,1976.478540801974
0,33,0,1,0,3.4215079444354703e-05
0,34,0,0,0,400.0010278234221
0,35,0,1,0,5.459838172747536e-06
0,36,0,0,0,2052.221415225563
0,37,0,0,0,600.000063338821
0,38,0,0,0,5158.230096163263
0,39,0,1,0,0.0004142256306620782
0,40,0,1,0,5.36086107688474e-05
0,41,0,0,0,3500.0000891118843
0,42,0,1,0,395.96262096283886
0,43,0,1,0,154.2531583533193
0,44,0,1,0,756.3428852474283
0,45,0,0,0,1177.3032541004106
0,46,0,1,0,351.8624018548463
0,47,0,1,0,0.00046797582712568856
0,48,0,0,0,3384.9292690313346
0,49,0,0,0,8795.018251331861
0,50,0,1,0,0.0005591064823131
0,51,0,0,0,4650.428944328832
0,52,0,0,0,1800.0005794319718
0,53,0,0,0,4766.987085702711
0,54,0,0,0,5600.000215299738
0,55,0,0,0,11700.001032935135
0,56,0,0,0,378.3575769186865
0,57,0,1,0,446.24526394174404
0,58,0,1,0,0.00037844001227174006
0,59,0,0,0,5853.301228861043
0,60,0,0,0,9624.413589435497
0,61,0,1,0,0.00021182961946148752
0,62,0,0,0,6181.687476727331
0,63,0,1,0,300.16785755328675
0,64,0,1,0,312.26397698387365
0,65,0,0,0,1595.9183290683068
0,66,0,0,0,1400.0000065105853
0,67,0,0,0,9792.38931817207
0,68,0,0,0,1868.3306330127039
0,69,0,0,0,0.0
0,70,0,0,0,1000.0001605065667
0,71,0,1,0,2.9854855169990075e-05
0,72,0,1,0,9.715549669404128e-05
0,73,0,0,0,5400.000000066693
0,74,0,0,0,10816.623397088759
0,75,0,0,0,4568.6697329131075
0,76,0,0,0,6290.328096653853
0,77,0,0,0,1355.194153657678
0,78,0,0,0,4379.396309845297
0,79,0,0,0,2191.1556802029054
0,80,0,0,0,3420.914610656025
0,81,0,0,0,2439.9087403477465
0,82,0,0,0,6039.5661052428095
0,83,0,1,0,229.21790905442845
0,84,0,1,0,0.00021839612678448196
0,85,0,1,0,202.55739903529502
0,86,0,0,0,3176.4127343705372
0,87,0,0,0,800.0004915801583
0,88,0,0,0,400.0005137072572
0,89,0,1,0,83.4929994728125
0,90,0,0,0,1961.9813986989784
0,91,0,0,0,4007.323795600791
0,92,0,0,0,3500.0001082504605
0,93,0,0,0,9570.626710715711
0,94,0,1,0,2.7661307582244378e-05
0,95,0,1,0,0.00014744410619732182
0,96,0,1,0,213.5782610356256
0,97,0,1,0,5.429168098004713e-05
0,98,0,0,0,5242.945665992141
0,99,0,1,0,0.0002178547736269112
0,100,0,1,0,0.00010806329567336422
0,1,0,1,1,3900.00037680842
0,2,0,1,1,2700.000422709547
0,3,0,0,1,13970.043225153702
